Word,Count
professor,499
mcgonagall,191
smiling,34
rather,59
woman,70
square,11
glasse,48
exactly,63
shape,22
one,917
black,149
drawn,23
tight,22
distinctly,7
ruffled,6
asked,232
ive,155
sit,48
stiff,12
brick,5
dozen,15
feast,26
partie,6
sniffed,6
everyone,106
impatiently,11
theyd,50
careful,31
dursleys,13
dark,215
theyre,70
completely,23
bound,24
notice,41
ill,122
bet,34
diggle,5
sense,30
cant,119
gently,28
weve,80
preciou,13
eleven,22
year,208
irritably,6
lose,34
rumor,10
threw,77
sharp,45
sideway,13
glance,18
fine,36
disappeared,35
u,535
really,146
certainly,37
we,1710
care,75
lemon,8
drop,28
sweet,72
im,229
fond,7
coldly,12
surely,33
person,43
proper,12
voldemort,63
keep,172
frightened,20
sounding,13
youre,125
calmly,15
power,92
will,587
noble,24
use,85
lucky,19
madam,158
pomfrey,43
liked,21
earmuff,7
shot,44
reached,89
anxiou,32
discus,5
real,45
cold,95
hard,120
neither,27
piercing,10
plain,8
believe,119
true,77
answer,72
pressed,23
hollow,17
find,212
lily,8
jame,5
bowed,25
gasped,33
shoulder,81
heavily,20
trembled,11
kill,69
somehow,38
broke,39
nodded,39
done,191
killed,30
stop,104
heaven,13
gu,23
may,385
handkerchief,7
beneath,22
great,286
took,312
golden,29
watch,93
examined,11
odd,41
hand,495
planet,5
moving,54
hagrid,531
late,83
id,65
bring,45
aunt,90
uncle,164
family,62
mean,155
live,72
cried,47
jumping,10
feet,151
pointing,53
l,53
mother,78
best,110
firmly,9
written,50
letter,183
repeated,17
faintly,9
understand,74
hell,44
famou,40
legend,11
surprised,31
future,14
book,186
world,90
seriously,8
top,85
turn,72
talk,83
wont,56
remember,100
growing,33
ready,112
take,250
opened,149
mouth,102
swallowed,13
course,138
getting,101
hiding,19
underneath,19
bringing,14
wise,14
trust,58
this,17
life,191
pretend,10
doe,100
low,70
rumbling,7
sound,100
silence,84
grew,55
steadily,5
louder,15
swelled,7
roar,12
huge,46
motorcycle,10
landed,25
simply,52
wild,59
bushy,9
hid,11
size,34
trash,5
lid,18
leather,7
baby,15
vast,12
arm,146
holding,69
bundle,14
blanket,13
relieved,14
borrowed,6
giant,36
climbing,7
carefully,37
lent,5
destroyed,12
started,127
bent,46
forward,89
visible,16
fast,49
under,153
jet,12
forehead,57
curiously,11
shaped,6
cut,44
bolt,18
lightning,14
whispered,73
scar,45
forever,16
myself,131
above,50
knee,46
perfect,16
london,76
underground,12
give,133
wed,30
shaggy,5
howl,12
dog,78
hissed,23
youll,51
wake,50
s,8
sobbed,8
taking,87
c,10
stand,67
poor,184
ter,108
sad,34
grip,10
patting,8
stepped,58
laid,43
tucked,10
full,148
three,192
shook,63
furiously,25
twinkling,6
usually,29
shone,17
busin,40
staying,11
go,541
join,22
yeah,39
muffled,12
bike,5
wiping,12
streaming,6
jacket,9
sleeve,17
swung,27
onto,101
kicked,17
engine,13
rose,56
shall,381
nodding,12
blew,16
reply,17
once,286
ball,30
glowed,5
orange,10
make,274
step,72
luck,20
murmured,13
heel,6
breeze,8
neat,8
hedge,11
silent,57
happen,45
rolled,24
without,186
waking,19
closed,66
beside,53
slept,33
